emission_names,cluster,is_new_cluster,Longitude,Latitude,Height..m.,Diameter..m.,Exit.Temp....,Velocity..m.s.,MW,CO2_tpa,Hg_kgpa,NOx_tpa,PM_tpa,SOx_tpa,FGD
Purwa37,purwa37,FALSE,107.4137,-6.55392,140,5,120,18,60,477328.896,12.741353388122866,319.6020425142857,191.37846857142856,1052.581577142857,FALSE
Qingd14,qingd14,FALSE,122.2616,-3.04035,135,4.5,120,16,130,1034212.6079999999,27.60626567426621,692.4710921142857,414.6533485714286,2280.5934171428576,FALSE
Remba108,remba108,FALSE,111.4749,-6.636,175,6,120,18.5,630,3341531.2454498224,79.74741569911961,1674.6763547019932,797.1459448381488,4072.8128946352476,FALSE
Ropa109,ropa109,FALSE,121.701339503693,-8.50860004088458,130,4.6,120,17,14,94057.91653858761,2.3063121397784756,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Sampi111,sampi111,FALSE,112.9063553,-2.762279094,120,3.9,75,15,50,335921.13049495575,8.966752002740618,740.756313508395,134.68296609243546,740.756313508395,TRUE
Sangg112,sangg112,FALSE,110.555541297939,0.0307096650128428,130,4.6,75,17,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,17.34716603270569,TRUE
Sebal113,sebal113,FALSE,105.38720000000001,-5.58594,145,5,75,17,200,1060803.569984071,28.05565923129118,2339.2304637107213,425.3146297655856,195.6447296921694,TRUE
Simpa114,simpa114,FALSE,104.1186,-3.40138,150,5.5,75,17.5,300,1591205.354976106,53.09261054254313,2915.5317870430895,379.59330706578515,2277.559842394711,TRUE
Sinar38,sinar38,FALSE,103.0821,-1.0069,147.5,5.35,120,18.375,211,1511122.794442105,40.336442436610014,1011.7927819596994,605.8639412932331,3332.251677112782,FALSE
Sinta115,sinta115,FALSE,111.433994213283,0.0742565935846098,130,4.4,75,16.5,21,141086.87480788142,3.7660358411510595,311.1176516735259,56.56684575882289,26.020749049058537,TRUE
Sofif116,sofif116,FALSE,127.541292344178,0.649669378487927,125,4.1,120,15.5,6,40310.535659394685,1.0760102403288743,88.8907576210074,16.16195593109225,88.8907576210074,FALSE
Soron117,soron117,FALSE,131.249352151647,-1.01947639971638,125,4.05,120,15.5,28,188115.83307717522,5.021381121534746,414.8235355647012,75.42246101176386,414.8235355647012,FALSE
Suge118,suge118,FALSE,107.564665671009,-2.8921440541970602,130,4.6,75,17,33,221707.94612667078,5.918056321808807,343.3983303035947,88.8907576210074,40.8897485056634,TRUE
Sulaw15,sulaw15,FALSE,122.17276666666666,-2.8685766666666668,175,6,120,17.333333333333332,3360,19739164.87218045,526.8980724411712,37777.96580241461,4708.917581954887,41051.35804824541,FALSE
